Date,Value
2016-12-31,131.448361
2016-11-30,132.06966557
2016-10-31,132.57437349
2016-09-30,133.17629277
2016-08-31,134.02106146
2016-07-31,134.58883535
2016-06-30,134.15732199
2016-05-31,132.99909184
2016-04-30,131.53849117
2016-03-31,130.26412334
2016-02-29,129.63616154
2016-01-31,129.71117555
2015-12-31,130.37970893
2015-11-30,131.22137558
2015-10-31,132.07890171
2015-09-30,133.28857911
2015-08-31,134.6297619
2015-07-31,135.14762865
2015-06-30,134.49568625
2015-05-31,133.02556531
2015-04-30,131.20925313
2015-03-31,129.63308046
2015-02-28,128.84100936
2015-01-31,129.02788687
2014-12-31,129.94839655
2014-11-30,131.08241429
2014-10-31,131.88296549
2014-09-30,132.45577192
2014-08-31,133.20869661
2014-07-31,133.96352894
2014-06-30,133.94914874
2014-05-31,132.57806131
2014-04-30,130.76350935
2014-03-31,129.5374198
2014-02-28,128.92823685
2014-01-31,128.85307453
2013-12-31,129.53489868
2013-11-30,130.91120614
2013-10-31,132.34698512
2013-09-30,133.59539938
2013-08-31,134.3711265
2013-07-31,134.24746632
2013-06-30,133.26646744
2013-05-31,131.75299633
2013-04-30,129.83759194
2013-03-31,127.85068243
2013-02-28,126.55038282
2013-01-31,126.48948616
2012-12-31,127.4106475
2012-11-30,128.42528125
2012-10-31,129.04929841
2012-09-30,129.73773651
2012-08-31,130.73941866
2012-07-31,131.32371772
2012-06-30,131.07818964
2012-05-31,130.26080967
2012-04-30,129.33267884
2012-03-31,128.61659527
2012-02-29,128.1867404
2012-01-31,128.44005097
2011-12-31,129.41355288
2011-11-30,130.60742161
2011-10-31,132.00667929
2011-09-30,133.43997532
2011-08-31,134.77735355
2011-07-31,135.94150506
2011-06-30,136.30801291
2011-05-31,135.68565578
2011-04-30,134.4762924
2011-03-31,133.35218345
2011-02-28,133.13090533
2011-01-31,133.86746933
2010-12-31,135.03754553
2010-11-30,136.20649377
2010-10-31,137.24359677
2010-09-30,138.38363249
2010-08-31,139.57168425
2010-07-31,140.586126
2010-06-30,141.12652905
2010-05-31,140.92818421
2010-04-30,140.17381364
2010-03-31,139.3350332
2010-02-28,138.99116995
2010-01-31,139.4929368
2009-12-31,140.7337802
2009-11-30,141.98176065
2009-10-31,142.73076092
2009-09-30,143.24725336
2009-08-31,143.68096464
2009-07-31,143.77755051
2009-06-30,143.205718
2009-05-31,142.2957896
2009-04-30,141.47406796
2009-03-31,140.76538537
2009-02-28,140.84219906
2009-01-31,142.27469255
2008-12-31,144.82803547
2008-11-30,147.73269353
2008-10-31,150.2014284
2008-09-30,152.06708893
2008-08-31,153.71204423
2008-07-31,154.97158827
2008-06-30,155.12633247
2008-05-31,154.48291444
2008-04-30,153.89726592
2008-03-31,153.57664009
2008-02-29,153.70259553
2008-01-31,154.72409084
2007-12-31,156.47246016
2007-11-30,158.64194454
2007-10-31,160.78455647
2007-09-30,162.52977704
2007-08-31,163.70070296
2007-07-31,163.98886294
2007-06-30,163.56600308
2007-05-31,162.9913662
2007-04-30,162.65624939
2007-03-31,161.94545249
2007-02-28,160.64905251
2007-01-31,159.65147206
2006-12-31,159.70379722
2006-11-30,160.89415942
2006-10-31,162.33014322
2006-09-30,163.61499141
2006-08-31,164.89977005
2006-07-31,165.80180742
2006-06-30,165.7959979
2006-05-31,164.92893476
2006-04-30,163.56499967
2006-03-31,162.13734869
2006-02-28,161.20451776
2006-01-31,160.90130458
2005-12-31,161.19761647
2005-11-30,161.89020682
2005-10-31,162.34864845
2005-09-30,162.32881013
2005-08-31,161.71448501
2005-07-31,160.46222805
2005-06-30,158.69662557
2005-05-31,156.69558262
2005-04-30,154.69908417
2005-03-31,152.61516929
2005-02-28,150.89396
2005-01-31,149.90190113
2004-12-31,149.35387085
2004-11-30,148.87627983
2004-10-31,148.38115719
2004-09-30,147.93227046
2004-08-31,147.5563781
2004-07-31,146.59204323
2004-06-30,144.44679276
2004-05-31,141.77327936
2004-04-30,138.85898304
2004-03-31,136.21959112
2004-02-29,134.90219305
2004-01-31,134.49684359
2003-12-31,134.13686073
2003-11-30,133.74977193
2003-10-31,133.39130676
2003-09-30,132.952717
2003-08-31,132.28523443
2003-07-31,131.18702726
2003-06-30,129.52069032
2003-05-31,127.59402865
2003-04-30,125.78810388
2003-03-31,124.10741603
2003-02-28,122.91559482
2003-01-31,122.36584773
2002-12-31,122.2009666
2002-11-30,122.11944077
2002-10-31,121.74609453
2002-09-30,121.11356043
2002-08-31,120.36471467
2002-07-31,119.32104273
2002-06-30,117.71023155
2002-05-31,115.68840392
2002-04-30,113.60698302
2002-03-31,111.74237428
2002-02-28,110.34732508
2002-01-31,109.5429536
2001-12-31,109.22593585
2001-11-30,108.98608028
2001-10-31,108.63567258
2001-09-30,108.29960611
2001-08-31,107.87827243
2001-07-31,106.94643623
2001-06-30,105.59698895
2001-05-31,104.24813141
2001-04-30,102.92207922
2001-03-31,101.67066122
2001-02-28,100.78906747
2001-01-31,100.28865793
2000-12-31,100.0
2000-11-30,99.734535905
2000-10-31,99.463384378
2000-09-30,99.343412345
2000-08-31,99.188239214
2000-07-31,98.801295715
2000-06-30,97.854688063
2000-05-31,96.401238589
2000-04-30,94.899726919
2000-03-31,93.645968771
2000-02-29,92.967685253
2000-01-31,92.771914183
1999-12-31,92.394796353
1999-11-30,91.689219683
1999-10-31,91.276669186
1999-09-30,91.197872594
1999-08-31,91.028236549
1999-07-31,90.503477363
1999-06-30,89.427552438
1999-05-31,88.119899716
1999-04-30,86.860848006
1999-03-31,85.833673293
1999-02-28,85.35037894
1999-01-31,85.078472488
